Eng,Kor,Ver
Classical Secutor's Caligae,고전 격투사 군화,
Classical Sagittarius's Headband,고전 궁투사 머리띠,
Classical Sagittarius's Chiton,고전 궁투사 키톤,
Classical Sagittarius's Wrist Torque,고전 궁투사 손목장식,
Classical Sagittarius's Loincloth,고전 궁투사 허리망토,
Classical Sagittarius's Caligae,고전 궁투사 군화,
Classical Dimachaerius's Mask,고전 쌍검투사 가면,
Classical Dimachaerius's Lorica,고전 쌍검투사 가슴받이,
Classical Dimachaerius's Manicae,고전 쌍검투사 장갑,
Classical Dimachaerius's Loincloth,고전 쌍검투사 허리망토,
Classical Dimachaerius's Caligae,고전 쌍검투사 군화,
Classical Medicus's Laurel Wreath,고전 의무병 월계관,
Classical Medicus's Chiton,고전 의무병 키톤,
Classical Medicus's Wrist Torque,고전 의무병 손목장식,
Classical Medicus's Loincloth,고전 의무병 허리망토,
Classical Medicus's Caligae,고전 의무병 군화,
Classical Signifer's Horns,고전 군단기수 뿔장식,
Classical Signifer's Chiton,고전 군단기수 키톤,
Classical Signifer's Fingerless Gloves,고전 군단기수 반장갑,
Classical Signifer's Culottes,고전 군단기수 치마바지,
Classical Signifer's Caligae,고전 군단기수 군화,
Classical Earrings of Fending,고전 수호자 귀걸이,
Classical Earrings of Slaying,고전 공격대 귀걸이,
Classical Earrings of Aiming,고전 유격대 귀걸이,
Classical Earrings of Healing,고전 치유사 귀걸이,
Classical Earrings of Casting,고전 마술사 귀걸이,
Classical Choker of Fending,고전 수호자 목장식,
Classical Choker of Slaying,고전 공격대 목장식,
Classical Choker of Aiming,고전 유격대 목장식,
Classical Choker of Healing,고전 치유사 목장식,
Classical Choker of Casting,고전 마술사 목장식,
Classical Wristband of Fending,고전 수호자 손목띠,
Classical Wristband of Slaying,고전 공격대 손목띠,
Classical Wristband of Aiming,고전 유격대 손목띠,
Classical Wristband of Healing,고전 치유사 손목띠,
Classical Wristband of Casting,고전 마술사 손목띠,
Classical Ring of Fending,고전 수호자 반지,
Classical Ring of Slaying,고전 공격대 반지,
Classical Ring of Aiming,고전 유격대 반지,
Classical Ring of Healing,고전 치유사 반지,
Classical Ring of Casting,고전 마술사 반지,
Radiant's Bastard Sword,별빛전사단 바스타드소드,
Radiant's Baghnakhs,별빛전사단 바그나크,
Radiant's Battleaxe,별빛전사단 전투도끼,
Radiant's Partisan,별빛전사단 유격창,
Radiant's Composite Bow,별빛전사단 합성궁,
Radiant's Sword Breakers,별빛전사단 방어단검,
Radiant's Greatsword,별빛전사단 그레이트소드,
Radiant's Pistol,별빛전사단 권총,
Radiant's Cane,별빛전사단 환술봉,
Radiant's Scepter,별빛전사단 홀,
Radiant's Grimoire,별빛전사단 마법서,
Radiant's Codex,별빛전사단 치유서,
Radiant's Torquetum,별빛전사단 좌표기,
Radiant's Blade,별빛전사단 외날검,
Radiant's Rapier,별빛전사단 레이피어,
Radiant's Bayonet,별빛전사단 총검,
Radiant's Chakrams,별빛전사단 차크람,
Radiant's Milpreves,별빛전사단 밀프레베,
Radiant's War Scythe,별빛전사단 전투낫,
Radiant's Shield,별빛전사단 방패,
Radiant's Helm of Fending,별빛전사단 수호자 투구,
Radiant's Scale Mail of Fending,별빛전사단 수호자 미늘갑옷,
Radiant's Gauntlets of Fending,별빛전사단 수호자 건틀릿,
Radiant's Cuisses of Fending,별빛전사단 수호자 허벅지보호대,
Radiant's Sabatons of Fending,별빛전사단 수호자 판금장화,
Radiant's Helm of Maiming,별빛전사단 학살자 투구,
Radiant's Scale Mail of Maiming,별빛전사단 학살자 미늘갑옷,
Radiant's Gauntlets of Maiming,별빛전사단 학살자 건틀릿,
Radiant's Cuisses of Maiming,별빛전사단 학살자 허벅지보호대,
Radiant's Sabatons of Maiming,별빛전사단 학살자 판금장화,
Radiant's Mask of Striking,별빛전사단 타격대 가면,
Radiant's Mail of Striking,별빛전사단 타격대 갑옷,
Radiant's Wristgloves of Striking,별빛전사단 타격대 손목장갑,
Radiant's Hose of Striking,별빛전사단 타격대 기마바지,
Radiant's Sabatons of Striking,별빛전사단 타격대 판금장화,
Radiant's Mask of Aiming,별빛전사단 유격대 가면,
Radiant's Mail of Aiming,별빛전사단 유격대 갑옷,
Radiant's Wristgloves of Aiming,별빛전사단 유격대 손목장갑,
Radiant's Hose of Aiming,별빛전사단 유격대 기마바지,
Radiant's Sabatons of Aiming,별빛전사단 유격대 판금장화,
Radiant's Visor of Scouting,별빛전사단 정찰대 얼굴가리개,
Radiant's Mail of Scouting,별빛전사단 정찰대 갑옷,
Radiant's Gloves of Scouting,별빛전사단 정찰대 장갑,
Radiant's Hose of Scouting,별빛전사단 정찰대 기마바지,
Radiant's Greaves of Scouting,별빛전사단 정찰대 갑주장화,
Radiant's Visor of Healing,별빛전사단 치유사 얼굴가리개,
Radiant's Mail of Healing,별빛전사단 치유사 갑옷,
Radiant's Gloves of Healing,별빛전사단 치유사 장갑,
Radiant's Hose of Healing,별빛전사단 치유사 기마바지,
Radiant's Greaves of Healing,별빛전사단 치유사 갑주장화,
Radiant's Visor of Casting,별빛전사단 마술사 얼굴가리개,
Radiant's Mail of Casting,별빛전사단 마술사 갑옷,
Radiant's Gloves of Casting,별빛전사단 마술사 장갑,
Radiant's Hose of Casting,별빛전사단 마술사 기마바지,
Radiant's Greaves of Casting,별빛전사단 마술사 갑주장화,
Radiant's Earrings of Fending,별빛전사단 수호자 귀걸이,
Radiant's Earrings of Slaying,별빛전사단 공격대 귀걸이,
Radiant's Earrings of Aiming,별빛전사단 유격대 귀걸이,
Radiant's Earrings of Healing,별빛전사단 치유사 귀걸이,
Radiant's Earrings of Casting,별빛전사단 마술사 귀걸이,
Radiant's Choker of Fending,별빛전사단 수호자 목장식,
Radiant's Choker of Slaying,별빛전사단 공격대 목장식,
Radiant's Choker of Aiming,별빛전사단 유격대 목장식,
Radiant's Choker of Healing,별빛전사단 치유사 목장식,
Radiant's Choker of Casting,별빛전사단 마술사 목장식,
Radiant's Bracelet of Fending,별빛전사단 수호자 팔찌,
Radiant's Bracelet of Slaying,별빛전사단 공격대 팔찌,
Radiant's Bracelet of Aiming,별빛전사단 유격대 팔찌,
Radiant's Bracelet of Healing,별빛전사단 치유사 팔찌,
Radiant's Bracelet of Casting,별빛전사단 마술사 팔찌,
Radiant's Ring of Fending,별빛전사단 수호자 반지,
Radiant's Ring of Slaying,별빛전사단 공격대 반지,
Radiant's Ring of Aiming,별빛전사단 유격대 반지,
Radiant's Ring of Healing,별빛전사단 치유사 반지,
Radiant's Ring of Casting,별빛전사단 마술사 반지,
Augmented Radiant's Bastard Sword,보강된 별빛전사단 바스타드소드,
Augmented Radiant's Baghnakhs,보강된 별빛전사단 바그나크,
Augmented Radiant's Battleaxe,보강된 별빛전사단 전투도끼,
Augmented Radiant's Partisan,보강된 별빛전사단 유격창,
Augmented Radiant's Composite Bow,보강된 별빛전사단 합성궁,
Augmented Radiant's Sword Breakers,보강된 별빛전사단 방어단검,
Augmented Radiant's Greatsword,보강된 별빛전사단 그레이트소드,
Augmented Radiant's Pistol,보강된 별빛전사단 권총,
Augmented Radiant's Cane,보강된 별빛전사단 환술봉,
Augmented Radiant's Scepter,보강된 별빛전사단 홀,
Augmented Radiant's Grimoire,보강된 별빛전사단 마법서,
Augmented Radiant's Codex,보강된 별빛전사단 치유서,
Augmented Radiant's Torquetum,보강된 별빛전사단 좌표기,
Augmented Radiant's Blade,보강된 별빛전사단 외날검,
Augmented Radiant's Rapier,보강된 별빛전사단 레이피어,
Augmented Radiant's Bayonet,보강된 별빛전사단 총검,
Augmented Radiant's Chakrams,보강된 별빛전사단 차크람,
Augmented Radiant's Milpreves,보강된 별빛전사단 밀프레베,
Augmented Radiant's War Scythe,보강된 별빛전사단 전투낫,
Augmented Radiant's Shield,보강된 별빛전사단 방패,
Augmented Radiant's Helm of Fending,보강된 별빛전사단 수호자 투구,
Augmented Radiant's Scale Mail of Fending,보강된 별빛전사단 수호자 미늘갑옷,
Augmented Radiant's Gauntlets of Fending,보강된 별빛전사단 수호자 건틀릿,
Augmented Radiant's Cuisses of Fending,보강된 별빛전사단 수호자 허벅지보호대,
Augmented Radiant's Sabatons of Fending,보강된 별빛전사단 수호자 판금장화,
Augmented Radiant's Helm of Maiming,보강된 별빛전사단 학살자 투구,
Augmented Radiant's Scale Mail of Maiming,보강된 별빛전사단 학살자 미늘갑옷,
Augmented Radiant's Gauntlets of Maiming,보강된 별빛전사단 학살자 건틀릿,
Augmented Radiant's Cuisses of Maiming,보강된 별빛전사단 학살자 허벅지보호대,
Augmented Radiant's Sabatons of Maiming,보강된 별빛전사단 학살자 판금장화,
Augmented Radiant's Mask of Striking,보강된 별빛전사단 타격대 가면,
Augmented Radiant's Mail of Striking,보강된 별빛전사단 타격대 갑옷,
Augmented Radiant's Wristgloves of Striking,보강된 별빛전사단 타격대 손목장갑,
Augmented Radiant's Hose of Striking,보강된 별빛전사단 타격대 기마바지,
Augmented Radiant's Sabatons of Striking,보강된 별빛전사단 타격대 판금장화,
Augmented Radiant's Mask of Aiming,보강된 별빛전사단 유격대 가면,
Augmented Radiant's Mail of Aiming,보강된 별빛전사단 유격대 갑옷,
Augmented Radiant's Wristgloves of Aiming,보강된 별빛전사단 유격대 손목장갑,
Augmented Radiant's Hose of Aiming,보강된 별빛전사단 유격대 기마바지,
Augmented Radiant's Sabatons of Aiming,보강된 별빛전사단 유격대 판금장화,
Augmented Radiant's Visor of Scouting,보강된 별빛전사단 정찰대 얼굴가리개,
Augmented Radiant's Mail of Scouting,보강된 별빛전사단 정찰대 갑옷,
Augmented Radiant's Gloves of Scouting,보강된 별빛전사단 정찰대 장갑,
Augmented Radiant's Hose of Scouting,보강된 별빛전사단 정찰대 기마바지,
Augmented Radiant's Greaves of Scouting,보강된 별빛전사단 정찰대 갑주장화,
Augmented Radiant's Visor of Healing,보강된 별빛전사단 치유사 얼굴가리개,
Augmented Radiant's Mail of Healing,보강된 별빛전사단 치유사 갑옷,
Augmented Radiant's Gloves of Healing,보강된 별빛전사단 치유사 장갑,
Augmented Radiant's Hose of Healing,보강된 별빛전사단 치유사 기마바지,
Augmented Radiant's Greaves of Healing,보강된 별빛전사단 치유사 갑주장화,
Augmented Radiant's Visor of Casting,보강된 별빛전사단 마술사 얼굴가리개,
Augmented Radiant's Mail of Casting,보강된 별빛전사단 마술사 갑옷,
Augmented Radiant's Gloves of Casting,보강된 별빛전사단 마술사 장갑,
Augmented Radiant's Hose of Casting,보강된 별빛전사단 마술사 기마바지,
Augmented Radiant's Greaves of Casting,보강된 별빛전사단 마술사 갑주장화,
Augmented Radiant's Earrings of Fending,보강된 별빛전사단 수호자 귀걸이,
Augmented Radiant's Earrings of Slaying,보강된 별빛전사단 공격대 귀걸이,
Augmented Radiant's Earrings of Aiming,보강된 별빛전사단 유격대 귀걸이,
Augmented Radiant's Earrings of Healing,보강된 별빛전사단 치유사 귀걸이,
Augmented Radiant's Earrings of Casting,보강된 별빛전사단 마술사 귀걸이,
Augmented Radiant's Choker of Fending,보강된 별빛전사단 수호자 목장식,
Augmented Radiant's Choker of Slaying,보강된 별빛전사단 공격대 목장식,
Augmented Radiant's Choker of Aiming,보강된 별빛전사단 유격대 목장식,
Augmented Radiant's Choker of Healing,보강된 별빛전사단 치유사 목장식,
Augmented Radiant's Choker of Casting,보강된 별빛전사단 마술사 목장식,
Augmented Radiant's Bracelet of Fending,보강된 별빛전사단 수호자 팔찌,
Augmented Radiant's Bracelet of Slaying,보강된 별빛전사단 공격대 팔찌,
Augmented Radiant's Bracelet of Aiming,보강된 별빛전사단 유격대 팔찌,
Augmented Radiant's Bracelet of Healing,보강된 별빛전사단 치유사 팔찌,
Augmented Radiant's Bracelet of Casting,보강된 별빛전사단 마술사 팔찌,
Augmented Radiant's Ring of Fending,보강된 별빛전사단 수호자 반지,
Augmented Radiant's Ring of Slaying,보강된 별빛전사단 공격대 반지,
Augmented Radiant's Ring of Aiming,보강된 별빛전사단 유격대 반지,
Augmented Radiant's Ring of Healing,보강된 별빛전사단 치유사 반지,
Augmented Radiant's Ring of Casting,보강된 별빛전사단 마술사 반지,
Asphodelos Longsword,변옥 롱소드,
Asphodelos Knuckles,변옥 너클,
Asphodelos War Hammer,변옥 전투망치,
Asphodelos Trident,변옥 삼지창,
Asphodelos Harp Bow,변옥 현악궁,
Asphodelos Daggers,변옥 단검,
Asphodelos Claymore,변옥 클레이모어,
Asphodelos Arquebus,변옥 화승총,
Asphodelos Cane,변옥 환술봉,
Asphodelos Staff,변옥 주술봉,
Asphodelos Grimoire,변옥 마법서,
Asphodelos Codex,변옥 치유서,
Asphodelos Orrery,변옥 태양계의,
Asphodelos Samurai Blade,변옥 외날검,
Asphodelos Foil,변옥 플뢰레,
Asphodelos Bayonet,변옥 총검,
Asphodelos Tathlums,변옥 타흘룸,
Asphodelos Pendulums,변옥 진자,
Asphodelos War Scythe,변옥 전투낫,
Asphodelos Shield,변옥 방패,
Asphodelos Circlet of Fending,변옥 수호자 머리장식,
Asphodelos Chiton of Fending,변옥 수호자 키톤,
Asphodelos Vambraces of Fending,변옥 수호자 완갑,
Asphodelos Skirt of Fending,변옥 수호자 치마,
Asphodelos Boots of Fending,변옥 수호자 장화,
Asphodelos Face Guard of Maiming,변옥 학살자 머리보호대,
Asphodelos Himation of Maiming,변옥 학살자 어깨겹옷,
Asphodelos Halfgloves of Maiming,변옥 학살자 손등장갑,
Asphodelos Breeches of Maiming,변옥 학살자 바지,
Asphodelos Shoes of Maiming,변옥 학살자 신발,
Asphodelos Face Guard of Striking,변옥 타격대 머리보호대,
Asphodelos Himation of Striking,변옥 타격대 어깨겹옷,
Asphodelos Halfgloves of Striking,변옥 타격대 손등장갑,
Asphodelos Breeches of Striking,변옥 타격대 바지,
Asphodelos Shoes of Striking,변옥 타격대 신발,
Asphodelos Headgear of Aiming,변옥 유격대 머리보호구,
Asphodelos Himation of Aiming,변옥 유격대 어깨겹옷,
Asphodelos Gloves of Aiming,변옥 유격대 장갑,
Asphodelos Hose of Aiming,변옥 유격대 기마바지,
Asphodelos Boots of Aiming,변옥 유격대 장화,
Asphodelos Headgear of Scouting,변옥 정찰대 머리보호구,
Asphodelos Himation of Scouting,변옥 정찰대 어깨겹옷,
Asphodelos Gloves of Scouting,변옥 정찰대 장갑,
Asphodelos Hose of Scouting,변옥 정찰대 기마바지,
Asphodelos Boots of Scouting,변옥 정찰대 장화,
Asphodelos Headgear of Healing,변옥 치유사 머리보호구,
Asphodelos Chiton of Healing,변옥 치유사 키톤,
Asphodelos Wristbands of Healing,변옥 치유사 손목띠,
Asphodelos Trousers of Healing,변옥 치유사 긴바지,
Asphodelos Gaiters of Healing,변옥 치유사 구두,
Asphodelos Headgear of Casting,변옥 마술사 머리보호구,
Asphodelos Chiton of Casting,변옥 마술사 키톤,
Asphodelos Wristbands of Casting,변옥 마술사 손목띠,
Asphodelos Trousers of Casting,변옥 마술사 긴바지,
Asphodelos Gaiters of Casting,변옥 마술사 구두,
Asphodelos Earrings of Fending,변옥 수호자 귀걸이,
Asphodelos Earrings of Slaying,변옥 공격대 귀걸이,
Asphodelos Earrings of Aiming,변옥 유격대 귀걸이,
Asphodelos Earrings of Healing,변옥 치유사 귀걸이,
Asphodelos Earrings of Casting,변옥 마술사 귀걸이,
Asphodelos Necklace of Fending,변옥 수호자 목걸이,
Asphodelos Necklace of Slaying,변옥 공격대 목걸이,
Asphodelos Necklace of Aiming,변옥 유격대 목걸이,
Asphodelos Necklace of Healing,변옥 치유사 목걸이,
Asphodelos Necklace of Casting,변옥 마술사 목걸이,
Asphodelos Amulet of Fending,변옥 수호자 팔찌,
Asphodelos Amulet of Slaying,변옥 공격대 팔찌,
Asphodelos Amulet of Aiming,변옥 유격대 팔찌,
Asphodelos Amulet of Healing,변옥 치유사 팔찌,
Asphodelos Amulet of Casting,변옥 마술사 팔찌,
Asphodelos Ring of Fending,변옥 수호자 반지,
Asphodelos Ring of Slaying,변옥 공격대 반지,
Asphodelos Ring of Aiming,변옥 유격대 반지,
Asphodelos Ring of Healing,변옥 치유사 반지,
Asphodelos Ring of Casting,변옥 마술사 반지,
High Durium Saw,휘취은 톱,
High Durium Cross-pein Hammer,휘취은 단조망치,
High Durium Raising Hammer,휘취은 돋을무늬 망치,
High Durium Lapidary Hammer,휘취은 세공망치,
High Durium Creasing Knife,휘취은 가죽공예 칼,
High Durium Needle,휘취은 바늘,
High Durium Alembic,휘취은 증류기,
High Durium Namazu Frypan,휘취은 나마즈오 프라이팬,
High Durium Pickaxe,휘취은 곡괭이,
High Durium Hatchet,휘취은 손도끼,
Horse Chestnut Fishing Rod,칠엽수 낚싯대,
High Durium Claw Hammer,휘취은 장도리,
High Durium File,휘취은 줄판,
High Durium Pliers,휘취은 플라이어,
Horse Chestnut Grinding Wheel,칠엽수 연삭기,
High Durium Awl,휘취은 목타,
Horse Chestnut Spinning Wheel,칠엽수 물레,
High Durium Mortar,휘취은 약연,
High Durium Culinary Knife,휘취은 요리칼,
High Durium Sledgehammer,휘취은 채굴망치,
High Durium Garden Scythe,휘취은 정원낫,
Bismuth Saw,창연 톱,
Bismuth Cross-pein Hammer,창연 단조망치,
Bismuth Raising Hammer,창연 돋을무늬 망치,
Bismuth Lapidary Hammer,창연 세공망치,
Bismuth Round Knife,창연 둥근칼,
Phrygian Needle,프리기아 바늘,
Bismuth Alembic,창연 증류기,
Bismuth Fat Cat Frypan,창연 뚱냥이 프라이팬,
Bismuth Pickaxe,창연 곡괭이,
Bismuth Hatchet,창연 손도끼,
Red Pine Fishing Rod,붉은소나무 낚싯대,
Bismuth Claw Hammer,창연 장도리,
Bismuth File,창연 줄판,
Bismuth Pliers,창연 플라이어,
Red Pine Grinding Wheel,붉은소나무 연삭기,
Bismuth Awl,창연 목타,
Red Pine Spinning Wheel,붉은소나무 물레,
Bismuth Mortar,창연 약연,
Bismuth Culinary Knife,창연 요리칼,
Bismuth Sledgehammer,창연 채굴망치,
Bismuth Garden Scythe,창연 정원낫,
Manganese Saw,망간 톱,
Manganese Cross-pein Hammer,망간 단조망치,
Manganese Raising Hammer,망간 돋을무늬 망치,
Manganese Lapidary Hammer,망간 세공망치,
Manganese Round Knife,망간 둥근칼,
Manganese Needle,망간 바늘,
Manganese Alembic,망간 증류기,
Manganese Chocobo Frypan,망간 초코보 프라이팬,
Manganese Pickaxe,망간 곡괭이,
Manganese Hatchet,망간 손도끼,
Ironwood Fishing Rod,철목 낚싯대,
Manganese Claw Hammer,망간 장도리,
Manganese File,망간 줄판,
Manganese Pliers,망간 플라이어,
Ironwood Grinding Wheel,철목 연삭기,
Manganese Awl,망간 목타,
Ironwood Spinning Wheel,철목 물레,
Manganese Mortar,망간 약연,
Manganese Culinary Knife,망간 요리칼,
Manganese Sledgehammer,망간 채굴망치,
Manganese Garden Scythe,망간 정원낫,
Chondrite Saw,콘드라이트 톱,
Chondrite Cross-pein Hammer,콘드라이트 단조망치,
Chondrite Raising Hammer,콘드라이트 돋을무늬 망치,
Chondrite Lapidary Hammer,콘드라이트 세공망치,
Chondrite Round Knife,콘드라이트 둥근칼,
Chondrite Needle,콘드라이트 바늘,
Chondrite Alembic,콘드라이트 증류기,
Chondrite Bomb Frypan,콘드라이트 봄 프라이팬,
Chondrite Pickaxe,콘드라이트 곡괭이,
Chondrite Hatchet,콘드라이트 손도끼,
Integral Fishing Rod,인테그랄 낚싯대,
Chondrite Claw Hammer,콘드라이트 장도리,
Chondrite File,콘드라이트 줄판,
Chondrite Pliers,콘드라이트 플라이어,
Integral Grinding Wheel,인테그랄 연삭기,
Chondrite Awl,콘드라이트 목타,
Integral Spinning Wheel,인테그랄 물레,
Chondrite Mortar,콘드라이트 약연,
Chondrite Culinary Knife,콘드라이트 요리칼,
Chondrite Sledgehammer,콘드라이트 채굴망치,
Chondrite Garden Scythe,콘드라이트 정원낫,
Darkhempen Hat,흑마포 모자,
Darkhempen Dogi,흑마포 도복,
Gajaskin Handekko,가자 반완갑,
Darkhempen Momohiki,흑마포 잠방이,
Gajaskin Tabi,가자 버선,
Horse Chestnut Kasa,칠엽수 삿갓,
Darkhempen Tabigoromo,흑마포 여행복,
Gajaskin Tekko,가자 완갑,
Darkhempen Kyakui,흑마포 바지,
Gajaskin Zori,가자 짚신,
Snow Linen Turban of Crafting,설아마 제작자 터번,
Snow Linen Doublet of Crafting,설아마 제작자 겹옷조끼,
Saigaskin Gloves of Crafting,사이가 제작자 장갑,
Snow Linen Bottoms of Crafting,설아마 제작자 하의,
Saigaskin Shoes of Crafting,사이가 제작자 신발,
Snow Linen Turban of Gathering,설아마 채집가 터번,
Snow Linen Coat of Gathering,설아마 채집가 외투,
Saigaskin Halfgloves of Gathering,사이가 채집가 손등장갑,
Snow Linen Bottoms of Gathering,설아마 채집가 하의,
Saigaskin Sandals of Gathering,사이가 채집가 샌들,
Scarlet Moko Wedge Cap of Crafting,진홍모시 제작자 정장모자,
Scarlet Moko Coatee of Crafting,진홍모시 제작자 정장웃옷,
Kumbhiraskin Gloves of Crafting,쿰비라 제작자 장갑,
Scarlet Moko Bottoms of Crafting,진홍모시 제작자 하의,
Kumbhiraskin Shoes of Crafting,쿰비라 제작자 신발,
Scarlet Moko Beret of Gathering,진홍모시 채집가 베레모,
Scarlet Moko Vest of Gathering,진홍모시 채집가 조끼,
Kumbhiraskin Gloves of Gathering,쿰비라 채집가 장갑,
Scarlet Moko Halfslops of Gathering,진홍모시 채집가 반바지,
Kumbhiraskin Boots of Gathering,쿰비라 채집가 장화,
AR-Caean Velvet Work Cap of Crafting,카에안 우단 제작자 작업모,
AR-Caean Velvet Work Shirt of Crafting,카에안 우단 제작자 작업셔츠,
Ophiotauroskin Halfgloves of Crafting,오피오타우로스 제작자 손등장갑,
AR-Caean Velvet Hose of Crafting,카에안 우단 제작자 기마바지,
Ophiotauroskin Work Boots of Crafting,오피오타우로스 제작자 작업장화,
AR-Caean Velvet Trapper's Hat of Gathering,카에안 우단 채집가 귀달이모자,
AR-Caean Velvet Jacket of Gathering,카에안 우단 채집가 재킷,
Ophiotauroskin Halfgloves of Gathering,오피오타우로스 채집가 손등장갑,
AR-Caean Velvet Culottes of Gathering,카에안 우단 채집가 통바지,
Ophiotauroskin Boots of Gathering,오피오타우로스 채집가 장화,
Ametrine Ear Cuffs of Crafting,자황수정 제작자 귀찌,
Ametrine Necklace of Crafting,자황수정 제작자 목걸이,
Ametrine Armillae of Crafting,자황수정 제작자 손목고리,
Ametrine Ring of Crafting,자황수정 제작자 반지,
Horse Chestnut Earrings of Gathering,칠엽수 채집가 귀걸이,
Horse Chestnut Necklace of Gathering,칠엽수 채집가 목걸이,
Horse Chestnut Bracelet of Gathering,칠엽수 채집가 팔찌,
Horse Chestnut Ring of Gathering,칠엽수 채집가 반지,
Ironwood Earrings of Crafting,철목 제작자 귀걸이,
Ironwood Necklace of Crafting,철목 제작자 목걸이,
Ironwood Bracelet of Crafting,철목 제작자 팔찌,
Ironwood Ring of Crafting,철목 제작자 반지,
Kumbhiraskin Earrings of Gathering,쿰비라 채집가 귀걸이,
Kumbhiraskin Necklace of Gathering,쿰비라 채집가 목걸이,
Kumbhiraskin Armilla of Gathering,쿰비라 채집가 손목띠,
Kumbhiraskin Ring of Gathering,쿰비라 채집가 반지,
Integral Earrings of Crafting,인테그랄 제작자 귀걸이,
Integral Necklace of Crafting,인테그랄 제작자 목걸이,
Integral Bracelet of Crafting,인테그랄 제작자 팔찌,
Integral Ring of Crafting,인테그랄 제작자 반지,
Ophiotauroskin Earrings of Gathering,오피오타우로스 채집가 귀걸이,
Ophiotauroskin Necklace of Gathering,오피오타우로스 채집가 목걸이,
Ophiotauroskin Wristband of Gathering,오피오타우로스 채집가 손목띠,
Ophiotauroskin Ring of Gathering,오피오타우로스 채집가 반지,
Millsoph's Saw,제재학자 톱,
Forgesoph's Hammer,제련학자 망치,
Hammersoph's Beetle,갑주학자 망치,
Gemsoph's Mallet,보석학자 세공망치,
Hidesoph's Knife,가죽학자 가죽칼,
Boltsoph's Needle,방직학자 바늘,
Cauldronsoph's Alembic,연금학자 증류기,
Galleysoph's Frypan,주방학자 프라이팬,
Minesoph's Pickaxe,광산학자 곡괭이,
Fieldsoph's Hatchet,농장학자 손도끼,
Tacklesoph's Rod,어장학자 낚싯대,
Millsoph's Bandana,제재학자 두건,
Millsoph's Apron,제재학자 앞치마,
Millsoph's Gloves,제재학자 장갑,
Millsoph's Breeches,제재학자 바지,
Millsoph's Gaiters,제재학자 구두,
Forgesoph's Goggles,제련학자 고글,
Forgesoph's Apron,제련학자 앞치마,
Forgesoph's Work Gloves,제련학자 작업장갑,
Forgesoph's Trousers,제련학자 긴바지,
Forgesoph's Boots,제련학자 장화,
Hammersoph's Visor,갑주학자 얼굴가리개,
Hammersoph's Apron,갑주학자 앞치마,
Hammersoph's Work Gloves,갑주학자 작업장갑,
Hammersoph's Trousers,갑주학자 긴바지,
Hammersoph's Workboots,갑주학자 작업장화,
Gemsoph's Hat,보석학자 모자,
Gemsoph's Vest,보석학자 조끼,
Gemsoph's Wristdresses,보석학자 소매장식,
Gemsoph's Trousers,보석학자 긴바지,
Gemsoph's Thighboots,보석학자 허벅지장화,
Hidesoph's Cap,가죽학자 모자,
Hidesoph's Apron,가죽학자 앞치마,
Hidesoph's Gloves,가죽학자 팔보호대,
Hidesoph's Kecks,가죽학자 덧바지,
Hidesoph's Boots,가죽학자 장화,
Boltsoph's Hat,방직학자 모자,
Boltsoph's Swallowtail,방직학자 연미복,
Boltsoph's Cuffs,방직학자 소맷동,
Boltsoph's Slacks,방직학자 하의,
Boltsoph's Boots,방직학자 장화,
Cauldronsoph's Hat,연금학자 모자,
Cauldronsoph's Mantle,연금학자 케이프망토,
Cauldronsoph's Gloves,연금학자 장갑,
Cauldronsoph's Kecks,연금학자 덧바지,
Cauldronsoph's Shoes,연금학자 신발,
Galleysoph's Cap,주방학자 모자,
Galleysoph's Apron,주방학자 앞치마,
Galleysoph's Mittens,주방학자 벙어리장갑,
Galleysoph's Trousers,주방학자 긴바지,
Galleysoph's Shoes,주방학자 신발,
Minesoph's Helmet,광산학자 철모,
Minesoph's Work Shirt,광산학자 작업셔츠,
Minesoph's Work Gloves,광산학자 작업장갑,
Minesoph's Slops,광산학자 일자바지,
Minesoph's Workboots,광산학자 작업장화,
Fieldsoph's Hood,농장학자 두건,
Fieldsoph's Shirt,농장학자 셔츠,
Fieldsoph's Gloves,농장학자 장갑,
Fieldsoph's Slops,농장학자 일자바지,
Fieldsoph's Crakows,농장학자 뾰족신,
Tacklesoph's Hat,어장학자 모자,
Tacklesoph's Jacket,어장학자 재킷,
Tacklesoph's Work Gloves,어장학자 작업장갑,
Tacklesoph's Slops,어장학자 일자바지,
Tacklesoph's Workboots,어장학자 작업장화,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Season Twenty Lone Wolf Trophy,고독한 늑대 트로피: 시즌 20,
Orchestrion Phonograph,오케스트리온 축음기,
Shoe Rack,목제 신발장,
Ivy Mural,담쟁이 벽화,
Table Mat,식탁깔개,
Matching Cushions,쌍둥이 쿠션,
Marimba,마림바,
Indoor Oriental Waterfall,동방의 실내 폭포,
Round Wooden Loft,복층용 원형 나무 바닥,
Heavenly Ornamental Array,벽걸이 별장식,
Woodland Chair,오래된 숲 의자,
Apothecary's Workbench,조제 작업대,
Candlelit Sundries,양초 소품 세트,
Fat Cat Rug,뚱냥이 깔개,
Walnut Flower Vases,호두나무 꽃병,
Fluffy Pancakes,폭신폭신 팬케이크,
Stuffed Bom Boko,봄보코 봉제인형,
Wooden Blinds,나무 블라인드 커튼,
Dance Pole,봉춤봉,
Antique Wall Shelf,골동품 선반,
